NORM SPECTRA FILE NAME,BI TOTAL,BI INDIVIDUAL,VMINS,VMAXS,EW INDIVIDUAL,DEPTH
spec-1589-52972-0430norm.dr16,0,[],[],[],[],[]
spec-10431-58137-0135norm.dr16,67.21,"[64.77, 2.44]",[-37190.96072 -42818.29739],[-40381.02541 -44574.85895],"[172.42, 40.42]","[0.25, 0.27]"
spec-5187-56074-0092norm.dr16,680.99,[680.99],[-36372.1932],[-45583.97917],[846.86],[0.26]
spec-10720-58250-0895norm.dr16,853.71,[853.71],[-35623.76917],[-43220.95462],[1011.84],[0.36]
spec-2745-54231-0564norm.dr16,243.25,"[132.3, 47.01]",[-39521.01962 -49108.13793 -56199.26551],[-42163.21077 -50719.04333],"[443.07, 249.02]","[0.81, 0.59]"
spec-5454-56015-0104norm.dr16,218.45,[218.45],[-38231.52113],[-41554.03618],[508.35],[0.45]
spec-5778-56328-0973norm.dr16,192.62,"[59.42, 133.2]",[-37868.84957 -45517.89704],[-40582.83489 -49018.13831],"[101.74, 200.22]","[0.25, 0.27]"
spec-9602-58131-0454norm.dr16,42.66,[42.66],[-46798.3516],[-48749.50924],[119.91],[0.31]
spec-1374-53083-0381norm.dr16,0,[],[],[],[],[]
spec-6621-56366-0502norm.dr16,110.3,[110.3],[-34514.3775],[-38051.42022],[176.22],[0.26]
spec-1793-53883-0520norm.dr16,3275.29,[3275.29],[-32104.59127],[-43650.69846],[3487.03],[0.65]
spec-5415-55982-0013norm.dr16,2036.54,[2036.54],[-32377.56019],[-41283.17311],[2196.0],[0.58]
spec-1229-52723-0245norm.dr16,0,[],[],[],[],[]
spec-5391-56000-0254norm.dr16,184.56,[184.56],[-32642.49693],[-38223.64705],[212.2],[0.23]
spec-5807-56329-0778norm.dr16,15.93,[15.93],[-41213.21181],[-43378.17873],[71.08],[0.16]
spec-10429-58145-0655norm.dr16,326.01,[326.01],[-38229.23051],[-43445.88292],[368.57],[0.26]
spec-11377-58434-0650norm.dr16,571.98,[571.98],[-36462.30814],[-43445.88292],[719.27],[0.28]
spec-6442-56369-0246norm.dr16,691.77,[691.77],[-35211.77696],[-41796.97003],[755.04],[0.41]
spec-10479-58159-0770norm.dr16,1512.38,[1512.38],[-34666.94643],[-43352.59641],[1673.79],[0.47]
spec-1732-53501-0445norm.dr16,0,[],[],[],[],[]
spec-5212-56016-0348norm.dr16,226.87,[226.87],[-35942.09495],[-38728.30842],[454.34],[0.36]
spec-6674-56416-0693norm.dr16,1314.11,"[370.49, 121.15, 789.33, 33.14]",[-39520.62114 -42906.95074 -45675.27175 -55932.36379],[-42433.5309  -45338.09111 -50919.75614 -58459.93088],"[595.69, 358.15, 934.77, 109.01]","[0.52, 0.51, 0.68, 0.39]"
spec-8221-58198-0399norm.dr16,243.59,"[20.84, 11.54, 211.2]",[-41011.97906 -43785.44247 -45810.13554],[-42839.21632 -45338.09111 -49242.12312],"[404.06, 338.33, 290.9]","[0.55, 0.61, 0.46]"
spec-6045-56072-0455norm.dr16,51.72,[51.72],[-44740.09439],[-47705.15271],[245.38],[0.31]
spec-10730-58244-0836norm.dr16,488.65,[488.65],[-45347.31463],[-49318.45959],[562.61],[0.68]
spec-0885-52379-0063norm.dr16,0,[],[],[],[],[]
spec-6674-56416-0964norm.dr16,328.28,[328.28],[-35671.57013],[-40290.12036],[422.05],[0.32]
spec-1272-52989-0064norm.dr16,55.1,"[32.3, 22.8]",[-39618.88469 -55095.62583],[-41922.53459 -56894.45479],"[140.16, 61.92]","[0.41, 0.28]"
spec-5809-56353-0704norm.dr16,113.4,[113.4],[-37854.11438],[-40839.09867],[240.6],[0.35]
spec-0628-52083-0304norm.dr16,0.0,[],[],[],[],[]
spec-6036-56093-0310norm.dr16,560.65,[560.65],[-37845.32347],[-42590.35772],[632.14],[0.43]
spec-8524-57656-0969norm.dr16,201.91,[201.91],[-36825.8292],[-41304.49228],[327.55],[0.28]
spec-6305-56563-0032norm.dr16,545.13,[545.13],[-45147.53897],[-50462.0435],[661.07],[0.47]
spec-7667-57580-0430norm.dr16,175.82,[175.82],[-46428.47809],[-50193.72642],[301.02],[0.31]
spec-4419-55867-0178norm.dr16,398.12,[398.12],[-35496.14147],[-39572.99625],[550.22],[0.4]
spec-9446-58082-0782norm.dr16,0.0,[],[],[],[],[]
spec-0790-52441-0583norm.dr16,175.17,[175.17],[-46153.37714],[-49718.42756],[321.39],[0.7]
spec-6806-56419-0302norm.dr16,905.5,[905.5],[-43521.45824],[-51328.03256],[964.35],[0.52]
spec-6786-56448-0829norm.dr16,241.11,[241.11],[-34924.88545],[-38596.49498],[497.21],[0.58]
spec-6976-56448-0440norm.dr16,175.17,[175.17],[-34993.046],[-38392.71574],[417.54],[0.53]
spec-6138-56236-0746norm.dr16,53.88,[53.88],[-46159.9852],[-48179.64727],[150.7],[0.5]
spec-6138-56598-0754norm.dr16,92.65,[92.65],[-39737.01677],[-42040.43076],[178.29],[0.49]
spec-5745-55998-0657norm.dr16,265.62,"[0.16, 265.46]",[-32928.22289 -34768.20243],[-34495.84697 -39118.95992],"[64.6, 343.89]","[0.26, 0.36]"
spec-5745-56050-0657norm.dr16,358.56,"[47.92, 301.75, 8.88]",[-32928.22289 -36469.59488 -44871.07527],[-34700.12643 -40814.12076 -46422.01142],"[167.64, 538.33, 115.39]","[0.52, 0.56, 0.44]"
spec-6460-56334-0396norm.dr16,363.13,"[82.63, 280.5]",[-32382.44807 -34972.56457],[-34631.93872 -39661.61764],"[157.91, 372.13]","[0.27, 0.4]"
spec-1933-53381-0566norm.dr16,334.45,[334.45],[-39402.97975],[-43600.76551],[442.2],[0.32]
spec-5179-55957-0836norm.dr16,32.15,[32.15],[-46367.17191],[-48856.84528],[127.14],[0.22]
spec-9609-58136-0331norm.dr16,385.15,[385.15],[-38385.01427],[-42924.71372],[504.94],[0.35]
spec-1521-52945-0532norm.dr16,4850.06,"[4015.43, 834.63]",[-29961.89382 -54306.94165],[-45987.40244 -60027.4512 ],"[4492.08, 975.77]","[0.62, 0.41]"
spec-5143-55828-0900norm.dr16,2761.4,"[2490.07, 271.33]",[-29961.83413 -54907.63109],[-44908.33809 -59364.54174],"[2804.19, 348.97]","[0.48, 0.23]"
spec-5144-55829-0475norm.dr16,2052.38,"[1989.89, 62.49]",[-29961.89382 -55907.80092],[-43625.39701 -58833.69925],"[2275.14, 125.05]","[0.43, 0.22]"
spec-9162-58040-0112norm.dr16,2333.68,"[2293.85, 39.83]",[-29961.89382 -55907.80092],[-43355.02507 -58103.38631],"[2611.68, 66.78]","[0.46, 0.18]"
spec-9227-57932-0572norm.dr16,2618.29,"[2519.67, 98.62]",[-29961.89382 -55707.74535],[-43828.02909 -58634.56232],"[2886.54, 161.86]","[0.46, 0.22]"
spec-4354-55810-0356norm.dr16,0,[],[],[],[],[]
spec-9345-57713-0464norm.dr16,143.43,"[94.93, 48.5]",[-41747.61577 -52183.44712],[-44721.72271 -54189.16625],"[209.54, 96.69]","[0.25, 0.38]"
spec-2884-54526-0579norm.dr16,0,[],[],[],[],[]
spec-6313-56460-0295norm.dr16,76.67,[76.67],[-46745.26592],[-49233.92631],[179.87],[0.26]
spec-2945-54505-0067norm.dr16,0.25,[0.25],[-39577.50546],[-41204.12094],[25.89],[0.18]
spec-5494-55857-0549norm.dr16,98.2,[98.2],[-37404.92935],[-40187.82348],[203.24],[0.26]
spec-6587-56537-0015norm.dr16,4383.57,[4383.57],[-31003.36306],[-49368.10217],[4496.56],[0.74]
spec-7701-57356-0794norm.dr16,3707.38,[3707.38],[-32027.28916],[-50240.59287],[3783.66],[0.78]
spec-0948-52428-0370norm.dr16,116.75,[116.75],[-39734.89123],[-42038.13374],[221.76],[0.44]
spec-7089-56661-0060norm.dr16,1031.03,[1031.03],[-34296.77175],[-43931.17663],[1148.07],[0.48]
spec-6199-56220-0264norm.dr16,2309.51,[2309.51],[-31693.4921],[-42905.6779],[2408.15],[0.44]
spec-7618-56898-0268norm.dr16,1544.33,"[1263.34, 280.99]",[-33807.81533 -45606.61853],[-42837.93713 -49509.56396],"[1493.37, 314.88]","[0.38, 0.9]"
spec-1455-53089-0381norm.dr16,82.31,[82.31],[-30867.57694],[-33119.57013],[209.57],[0.37]
spec-6670-56389-0168norm.dr16,312.92,[312.92],[-30867.57694],[-34618.91843],[598.21],[0.4]
spec-6280-56570-0623norm.dr16,139.1,"[123.12, 15.98]",[-33990.76638 -37529.30833],[-37257.44046 -39226.62029],"[213.73, 84.04]","[0.28, 0.22]"
spec-7694-57359-0006norm.dr16,157.94,[157.94],[-33922.71962],[-37325.34785],[264.83],[0.33]
spec-1582-52939-0558norm.dr16,563.3,[563.3],[-54584.81479],[-58047.55415],[928.17],[1.49]
spec-4485-55836-0092norm.dr16,844.43,[844.43],[-30041.34],[-36313.96954],[982.59],[0.78]
spec-2785-54537-0175norm.dr16,697.78,[697.78],[-35615.33511],[-44631.02839],[817.97],[0.43]
spec-5896-56047-0658norm.dr16,1374.52,[1374.52],[-33503.91814],[-43888.19979],[1497.62],[0.39]
spec-4341-55538-0324norm.dr16,885.15,"[604.9, 280.25]",[-32748.27764 -53826.85893],[-43409.99255 -58821.33412],"[776.25, 323.17]","[0.41, 0.3]"
spec-9312-57784-0360norm.dr16,2535.76,"[1743.32, 792.44]",[-29948.98694 -54361.22219],[-40906.35536 -59219.35944],"[2033.69, 944.67]","[0.51, 0.45]"
spec-1709-53533-0576norm.dr16,2746.55,"[2615.41, 131.14]",[-32012.05656 -45179.49441],[-43423.98468 -48748.31635],"[2924.31, 275.01]","[0.68, 0.33]"
spec-5465-55988-0798norm.dr16,2344.4,"[2274.34, 70.06]",[-31602.50585 -54975.68178],[-42409.65116 -57373.3975 ],"[2440.57, 145.36]","[0.64, 0.28]"
spec-2582-54139-0485norm.dr16,310.89,[310.89],[-43442.32859],[-48363.15782],[538.51],[0.33]
spec-5320-55999-0336norm.dr16,57.62,[57.62],[-45872.34712],[-48363.15782],[127.05],[0.22]
spec-9587-57784-0340norm.dr16,0,[],[],[],[],[]
spec-1618-53116-0538norm.dr16,0.0,[],[],[],[],[]
spec-5374-55947-0608norm.dr16,289.63,[289.63],[-32222.74415],[-38145.32759],[358.53],[0.5]
spec-2511-53882-0552norm.dr16,609.13,[609.13],[-32690.02802],[-40780.7092],[710.53],[0.31]
spec-6422-56328-0988norm.dr16,1291.83,"[1207.64, 84.19]",[-29959.04622 -55171.57151],[-40983.90523 -58366.20417],"[1349.49, 109.87]","[0.45, 0.32]"
spec-2225-53729-0182norm.dr16,0,[],[],[],[],[]
spec-6402-56334-0966norm.dr16,478.5,[478.5],[-43865.8906],[-50731.31614],[527.44],[0.44]
spec-1713-53827-0211norm.dr16,503.61,"[455.34, 48.27]",[-33446.57572 -38820.58927],[-38549.15413 -41058.10341],"[573.93, 184.43]","[0.47, 0.39]"
spec-5476-55986-0599norm.dr16,838.02,[838.02],[-33855.64745],[-41938.35759],[970.12],[0.37]
spec-6456-56339-0894norm.dr16,431.81,"[55.95, 375.86]",[-31972.98607 -38847.46229],[-33950.71156 -46017.57987],"[298.48, 478.38]","[0.34, 0.32]"
spec-10464-58155-0575norm.dr16,490.51,"[2.89, 3.67, 483.95]",[-32109.49482 -36129.50931 -38643.71962],[-33746.14492 -37828.86616 -46960.70375],"[160.83, 115.08, 502.73]","[0.27, 0.33, 0.28]"
spec-2430-53815-0471norm.dr16,117.39,[117.39],[-37512.5418],[-39956.0373],[306.2],[0.47]
spec-5288-55865-0958norm.dr16,205.17,[205.17],[-36900.82525],[-39956.0373],[286.85],[0.34]
spec-5290-55862-0164norm.dr16,164.11,[164.11],[-36968.71247],[-40227.27252],[282.27],[0.34]
spec-1372-53062-0154norm.dr16,1207.0,"[294.47, 910.43, 2.1]",[-38535.16867 -45302.85728 -53629.01492],[-42127.5502  -53361.65785 -55164.28961],"[490.82, 954.6, 56.49]","[0.48, 0.88, 0.21]"
spec-6636-56367-0036norm.dr16,800.23,"[510.94, 289.29]",[-35408.11923 -42127.49938],[-41653.74959 -48400.66974],"[655.43, 621.41]","[0.47, 0.91]"
spec-8374-57783-0919norm.dr16,435.44,"[327.29, 108.15]",[-34931.53804 -42398.22067],[-38942.5305  -45842.43511],"[457.82, 418.64]","[0.4, 0.9]"
spec-5444-56038-0942norm.dr16,82.83,"[7.91, 74.93]",[-43128.64983 -45694.12485],[-44749.70757 -48723.51454],"[67.92, 186.77]","[0.28, 0.35]"
spec-5868-56045-0372norm.dr16,162.93,[162.93],[-45289.56442],[-48790.62756],[323.4],[0.42]
spec-5133-55860-0412norm.dr16,70.51,[70.51],[-40632.00345],[-43406.68167],[157.29],[0.31]
spec-7622-56987-0113norm.dr16,175.89,[175.89],[-41986.47373],[-46914.66435],[202.36],[0.51]
spec-5174-56047-0344norm.dr16,1399.38,[1399.38],[-34305.92351],[-41844.23204],[1505.88],[0.72]
spec-10748-58224-0461norm.dr16,3108.62,[3108.62],[-32533.48354],[-43940.28716],[3189.78],[0.9]
spec-6122-56246-0696norm.dr16,301.72,[301.72],[-46216.79234],[-50117.1391],[473.2],[0.32]
spec-7610-56980-0454norm.dr16,100.33,[100.33],[-47159.7806],[-49647.31173],[284.32],[0.35]
spec-6720-56390-0552norm.dr16,458.64,"[262.83, 195.8]",[-36675.45197 -47366.63493],[-40002.56256 -50792.78523],"[420.58, 339.66]","[0.41, 0.51]"
spec-8396-57837-0736norm.dr16,715.93,"[168.99, 546.94]",[-36879.39481 -47231.99015],[-39799.20107 -52868.68412],"[335.33, 743.03]","[0.33, 0.44]"
spec-1982-53436-0626norm.dr16,109.54,"[11.42, 9.81, 88.31]",[-39543.80943 -42997.59798 -45091.25042],[-41102.77058 -44618.84809 -47382.49469],"[156.47, 89.35, 107.5]","[0.31, 0.27, 0.37]"
spec-6447-56362-0854norm.dr16,263.56,"[248.09, 15.47]",[-39543.80943 -45428.49091],[-43741.06198 -47449.69926],"[468.85, 100.13]","[0.36, 0.28]"
spec-5421-55980-0918norm.dr16,56.81,[56.81],[-53918.0452],[-56851.67565],[195.41],[0.33]
spec-5422-55986-0288norm.dr16,13.05,[13.05],[-54252.07984],[-55986.17547],[200.14],[0.36]
