spec-10431-58137-0135-dered.dr16,10431,58137,135,1.914,
spec-5187-56074-0092-dered.dr16,5187,56074,92,1.945,
spec-7597-56973-0699-dered.dr16,7597,56973,699,1.969,
spec-5454-56015-0104-dered.dr16,5454,56015,104,2,
spec-5778-56328-0973-dered.dr16,5778,56328,973,2.015,
spec-6621-56366-0502-dered.dr16,6621,56366,502,2.028,
spec-11634-58484-0334-dered.dr16,11634,58484,334,2.0461,
spec-5391-56000-0254-dered.dr16,5391,56000,254,2.079,
spec-7861-57281-0472-dered.dr16,7861,57281,472,2.0838,
spec-5807-56329-0778-dered.dr16,5807,56329,778,2.089,
spec-5212-56016-0348-dered.dr16,5212,56016,348,2.138,
spec-6674-56416-0693-dered.dr16,6674,56416,693,2.145,
spec-5372-55978-0916-dered.dr16,5372,55978,916,2.16,
spec-5356-55979-0586-dered.dr16,5356,55979,586,2.231,
spec-7148-56591-0664-dered.dr16,7148,56591,664,2.248,
spec-7678-57282-0598-dered.dr16,7678,57282,598,2.2507,
spec-6674-56416-0964-dered.dr16,6674,56416,964,2.295,
spec-5809-56353-0704-dered.dr16,5809,56353,704,2.308,
spec-8524-57656-0969-dered.dr16,8524,57656,969,2.314,
spec-4538-55860-0660-dered.dr16,4538,55860,660,2.323,
spec-4663-55893-0248-dered.dr16,4663,55893,248,2.361,
spec-4419-55867-0178-dered.dr16,4419,55867,178,2.362,
spec-6318-56186-0342-dered.dr16,6318,56186,342,2.369,
spec-6257-56274-0490-dered.dr16,6257,56274,490,2.37,
spec-6806-56419-0302-dered.dr16,6806,56419,302,2.37,
spec-6976-56448-0440-dered.dr16,6976,56448,440,2.385,
spec-6729-56419-0322-dered.dr16,6729,56419,322,2.394,
spec-6138-56598-0754-dered.dr16,6138,56598,754,2.395,
spec-6754-56414-0240-dered.dr16,6754,56414,240,2.395,
spec-5039-56220-0625-dered.dr16,5039,56220,625,2.408,
spec-5486-56030-0078-dered.dr16,5486,56030,78,2.419,
spec-5427-56001-0204-dered.dr16,5427,56001,204,2.444,
spec-5745-55998-0657-dered.dr16,5745,55998,657,2.466,
spec-5998-56087-0294-dered.dr16,5998,56087,294,2.545,
spec-6640-56385-0896-dered.dr16,6640,56385,896,2.549,
spec-5430-56000-0964-dered.dr16,5430,56000,964,2.552,
spec-6969-56420-0959-dered.dr16,6969,56420,959,2.572,
spec-5338-56002-0157-dered.dr16,5338,56002,157,2.585,
spec-9345-57713-0464-dered.dr16,9345,57713,464,2.61,
spec-6313-56460-0295-dered.dr16,6313,56460,295,2.615,
spec-11277-58450-0622-dered.dr16,11277,58450,622,2.6276,
spec-7391-56781-0721-dered.dr16,7391,56781,721,2.63,
spec-5494-55857-0549-dered.dr16,5494,55857,549,2.635,
spec-7701-57356-0794-dered.dr16,7701,57356,794,2.6636,
spec-8205-58143-0500-dered.dr16,8205,58143,500,2.6904,
spec-7089-56661-0060-dered.dr16,7089,56661,60,2.702,
spec-6199-56220-0264-dered.dr16,6199,56220,264,2.762,
spec-5394-56001-0990-dered.dr16,5394,56001,990,2.842,
spec-6670-56389-0168-dered.dr16,6670,56389,168,2.846,
spec-8507-57878-0108-dered.dr16,8507,57878,108,2.8586,
spec-8839-57846-0634-dered.dr16,8839,57846,634,2.8595,
spec-7694-57359-0006-dered.dr16,7694,57359,6,2.86,
spec-5896-56047-0658-dered.dr16,5896,56047,658,2.892,
spec-8381-57512-0320-dered.dr16,8381,57512,320,2.9289,
spec-6182-56190-0657-dered.dr16,6182,56190,657,2.968,
spec-9312-57784-0360-dered.dr16,9312,57784,360,2.978,
spec-5465-55988-0798-dered.dr16,5465,55988,798,3.003,
spec-5320-55999-0336-dered.dr16,5320,55999,336,3.031,
spec-6422-56328-0988-dered.dr16,6422,56328,988,3.083,
spec-5476-55986-0599-dered.dr16,5476,55986,599,3.159,
spec-8374-57783-0919-dered.dr16,8374,57783,919,3.3,
spec-5174-56047-0344-dered.dr16,5174,56047,344,3.583,
spec-5415-55982-0013-dered.dr16,5415,55982,13,2.072,
spec-6442-56369-0246-dered.dr16,6442,56369,246,2.093,
spec-9142-57664-0368-dered.dr16,9142,57664,368,2.1098,
spec-7673-57329-0103-dered.dr16,7673,57329,103,2.21,
spec-7667-57580-0430-dered.dr16,7667,57580,430,2.32,
spec-7098-56661-0163-dered.dr16,7098,56661,163,2.335,
spec-11395-58488-0418-dered.dr16,11395,58488,418,2.3577,
spec-7083-56722-0348-dered.dr16,7083,56722,348,2.37,
spec-6727-56369-0773-dered.dr16,6727,56369,773,2.4,
spec-5179-55957-0836-dered.dr16,5179,55957,836,2.495,
spec-5144-55829-0475-dered.dr16,5144,55829,475,2.548,
spec-5483-56017-0061-dered.dr16,5483,56017,61,2.809,
spec-6754-56414-0561-dered.dr16,6754,56414,561,2.81,
spec-8059-57895-0912-dered.dr16,8059,57895,912,2.995,
spec-5374-55947-0608-dered.dr16,5374,55947,608,3.07,
spec-6412-56358-0454-dered.dr16,6412,56358,454,3.094,
spec-4663-55893-0854-dered.dr16,4663,55893,854,3.106,
spec-6402-56334-0966-dered.dr16,6402,56334,966,3.128,
spec-6456-56339-0894-dered.dr16,6456,56339,894,3.194,
spec-6405-56342-0814-dered.dr16,6405,56342,814,3.195,
spec-5288-55865-0958-dered.dr16,5288,55865,958,3.204,
spec-5868-56045-0372-dered.dr16,5868,56045,372,3.403,
spec-7622-56987-0113-dered.dr16,7622,56987,113,3.45,
spec-6122-56246-0696-dered.dr16,6122,56246,696,3.623,
spec-8396-57837-0736-dered.dr16,8396,57837,736,3.851,
spec-6447-56362-0854-dered.dr16,6447,56362,854,4.121,
spec-5421-55980-0918-dered.dr16,5421,55980,918,4.479,
spec-6433-56339-0278-dered.dr16,6433,56339,278,2.605,
spec-5712-56602-0074-dered.dr16,5712,56602,74,1.94,
spec-6045-56072-0455-dered.dr16,6045,56072,455,2.208,
spec-6142-56219-0893-dered.dr16,6142,56219,893,2.716,
spec-6983-56447-0896-dered.dr16,6983,56447,896,3.05,
spec-6389-56270-0061-dered.dr16,6389,56270,61,2.752,
spec-10728-58248-0740-dered.dr16,10728,58248,740,2.035,
spec-5372-55978-0742-dered.dr16,5372,55978,742,2.382,
spec-4485-55836-0092-dered.dr16,4485,55836,92,2.861,