SDSS name,Spec Files,Redshift (from SDSS),Redshift (from Rankine),Redshift,OG EHVO obs = Rankine Obs,OG EHVO Obs,Tmin (restframe),BI 2000 Limit #s ->,BI TOTAL,BI INDIVIDUAL,VMINS,VMAXS,EW INDIVIDUAL,DEPTH,VCentral,BI 500 Limit #s ->,BI TOTAL,BI INDIVIDUAL,VMINS,VMAXS,EW INDIVIDUAL 500,DEPTH,VCentral,,NV?,SiIV?,NV > CIV?,
J085117.41+301838.7,spec-1589-52972-0430,1.914,,1.914,FALSE,,1772.478,NEED TO REMOVE TROUGHS!,0,,,,,,[],NEED TO REMOVE TROUGHS,0,,,,,,[],,N/A,N/A,N/A,
J085117.41+301838.7,spec-10431-58137-0135,1.914,,1.914,FALSE,1,1772.478,1,36.03,36.03,-37190.96072,-40381.02541,448.7,0.25,[-38674.01920246],5,149.42,149.42,-37190.96072,-40381.02541,448.7,0.25,[-38674.01920246],,N/A,N/A,N/A,
J165542.60+381338.3,spec-5187-56074-0092,1.945,1.94424,1.94424,TRUE,1,739.0701845,1,627.69,[627.69],[-36295.95398],[-45508.38933],[1669.94],[0.26],[-40616.76216113],5,803.8,803.8,-36295.95398,-45508.38933,1669.94,0.26,[-40616.76216113],,N/A,N/A,N/A,
J165542.60+381338.3,spec-10720-58250-0895,1.945,1.94424,1.94424,TRUE,,739.0701845,1,791.82,[791.82],[-35547.48361],[-43145.18427],[1665.12],[0.36],[-39333.31369793],"Not done, rare bug with vmin calc",984.77,984.77,-35615.60619,-43220.95462,1665.12,0.36,[-39333.31369793],,N/A,N/A,N/A,
J141415.41+163915.0,spec-2745-54231-0564,2,1.99798,1.99798,TRUE,,595.0673453,1,69.1,[28.81],[-39254.83091],[-41965.25794],[597.13],[0.81],[-40396.98508126],5,360.97,360.97,-39254.83091,-41965.25794,597.13,0.81,[-40396.98508126],,N/A,N/A,N/A,No clear SiIV
J141415.41+163915.0,spec-5454-56015-0104,2,1.99798,1.99798,TRUE,1,595.0673453,1,109.94,[109.94],[-38032.85982],[-41355.96903],[765.15],[0.45],[-39592.20684159],5,483.27,483.27,-38032.85982,-41355.96903,765.15,0.45,[-39592.20684159],,N/A,TRUE,N/A,"Possible truncation on red wing, likely some SiIV"
J091247.35+254646.2,spec-5778-56328-0973,2.015,2.01702,2.01702,TRUE,1,1563.131832,1,139.62,"[41.98, 97.64]",[-37998.58878 -45714.03705],[-40779.92626 -49213.53761],"[316.72, 507.54]","[0.25, 0.27]",[-39582.77738566 -47507.00193233],"Not done, rare bug with vmin calc",288.75,"97.11,191.64",-83847.97133,-89993.46387,"316.72, 507.54","0.25, 0.27",[-39582.77738566 -47507.00193233],,N/A,N/A,N/A,Not enough data for SiIV
J091247.35+254646.2,spec-9602-58131-0454,2.015,2.01702,2.01702,TRUE,,1563.131832,1,0,[],[],[],[],[],[],5,91.91,"9.67, 82.24",-87841.08675,-90469.84061,"67.03, 262.87","0.21, 0.31",[-41075.02506098 -48031.77248431],,N/A,N/A,N/A,Not enough data for SiIV
J125924.28+445105.0,spec-1374-53083-0381,2.028,2.03067,2.03067,TRUE,,1083.258817,1,0,[],[],[],[],[],[],5,0,,,,,,[],,N/A,N/A,N/A,Not enough data for SiIV
J125924.28+445105.0,spec-6621-56366-0502,2.028,2.03067,2.03067,TRUE,1,1083.258817,1,77.32,[77.32],[-34775.08032],[-38311.36582],[495.76],[0.26],[-36599.59561533],5,164.91,164.91,-34775.08032,-38311.36582,495.76,0.26,[-36599.59561533],,N/A,N/A,N/A,Not enough data for SiIV
J130236.17+095831.8,spec-1793-53883-0520,2.072,2.07441,2.07441,TRUE,,682.7326,1,3106.56,[3106.56],[-32336.97213],[-43880.78458],[4267.1],[0.65],[-37714.25136072],5,3465.56,3465.56,-32336.97213,-43880.78458,4267.1,0.65,[-37714.25136072],,N/A,TRUE,N/A,Probable truncation of redwing of Ly-a+NV emission line
J130236.17+095831.8,spec-5415-55982-0013,2.072,2.07441,2.07441,TRUE,1,682.7326,1,1875.62,[1875.62],[-32609.89484],[-41513.78659],[2848.66],[0.58],[-36753.80670693],5,2189.71,2189.71,-32609.89484,-41513.78659,2848.66,0.58,[-36753.80670693],,N/A,TRUE,N/A,Probable truncation of redwing of Ly-a+NV emission line
J120821.01+090130.4,spec-1229-52723-0245,2.079,2.077214,2.077214,TRUE,,1064.924,1,0,[],[],[],[],[],[],5,0,0,,,,,,,N/A,FALSE,N/A,No clear SiIV
J120821.01+090130.4,spec-5391-56000-0254,2.079,2.077214,2.077214,TRUE,1,1064.924,1,173.42,[173.42],[-32470.21563],[-38052.13114],[712.29],[0.23],[-35447.84425556],5,211.52,211.52,-32470.21563,-38052.13114,712.29,0.23,[-35447.84425556],,N/A,FALSE,N/A,No clear SiIV
J093208.77+314328.0,spec-5807-56329-0778,2.089,2.089261,2.089261,TRUE,1,587.842853,1,15.15,[15.15],[-40967.14476],[-43402.88252],[335.36],[0.17],[-42238.54223712],5,96.08,96.08,-40967.14476,-43402.88252,335.36,0.17,[-42238.54223712],,N/A,FALSE,N/A,"Odd spectrum, middle of Ly-a+NV emission is nearly completely absorbed, seems unlikely to be caused by SiIV completely"
J093208.77+314328.0,spec-10429-58145-0655,2.089,2.089261,2.089261,TRUE,,587.842853,1,298.64,[298.64],[-38254.0523],[-43470.58505],[848.04],[0.26],[-41053.597781],5,361.58,361.58,-38254.0523,-43470.58505,848.04,0.26,[ -41053.597781 ],,N/A,FALSE,N/A,"Odd spectrum, middle of Ly-a+NV emission is nearly completely absorbed, seems unlikely to be caused by SiIV completely"
J093208.77+314328.0,spec-11377-58434-0650,2.089,2.089261,2.089261,TRUE,,587.842853,1,533.37,[533.37],[-36487.16699],[-43470.58505],[1345.45],[0.28],[-40027.45199558],5,697.82,697.82,-36487.16699,-43470.58505,1345.45,0.28,[-40027.45199558],,N/A,FALSE,N/A,"Odd spectrum, middle of Ly-a+NV emission is nearly completely absorbed, seems unlikely to be caused by SiIV completely"
J110018.52+314122.5,spec-6442-56369-0246,2.093,2.09346,2.09346,TRUE,1,578.6401,1,626.94,[626.94],[-35255.74385],[-41840.68523],[1313.24],[0.41],[-38592.82690212],"Not done, rare bug with vmin calc",740.18,740.18,-35323.72578,-41840.68523,1313.24,0.41,[-38592.82690212],,N/A,FALSE,N/A,"No clear SiIV, Possible truncation of red-wing? Nothing conclusive"
J110018.52+314122.5,spec-10479-58159-0770,2.093,2.09346,2.09346,TRUE,,578.6401,1,1433.57,[1433.57],[-34710.93222],[-43396.24587],[2361.6],[0.47],[-38994.40774266],5,1648.76,1648.76,-34710.93222,-43396.24587,2361.6,0.47,[-38994.40774266],,N/A,FALSE,N/A,"No clear SiIV, Possible truncation of red-wing? Nothing conclusive"
J162122.54+075808.4,spec-1732-53501-0445,2.138,2.140198,2.140198,TRUE,,800.9049,1,0,[],[],[],[],[],[],5,53.86,4.39,-38527.66254,-39409.78814,100.7,0.21,[-38922.8447223],,N/A,TRUE,N/A,Very likely SiIV
J162122.54+075808.4,spec-5212-56016-0348,2.138,2.140198,2.140198,TRUE,1,800.9049,1,113.62,[113.62],[-36149.16344],[-38934.88925],[675.4],[0.36],[-37639.54401325],5,430.52,430.52,-36149.16344,-38934.88925,675.4,0.36,[-37639.54401325],,N/A,TRUE,N/A,Very likely SiIV
J123615.42+515917.9,spec-6674-56416-0693,2.145,2.143253,2.143253,TRUE,1,566.9286,1,769.7,"57.1, 712.74",-88188.40478,-95932.72322,"539.86, 1336.57","0.51, 0.68",[-44095.09861215 -48311.62164489],5,1248.38,"338.18, 910.42",-88188.40478,-95932.72322,"539.86, 1336.57"," 0.51, 0.68",[-44095.09861215 -48311.62164489],,N/A,TRUE,N/A,"Middle of Ly-a+NV almost completely absorbed, absorptioin centers on SiIV. But also seems unlikely that such a small CiV would cause immense SiIV. SiIV is still likely however"
J123615.42+515917.9,spec-8221-58198-0399,2.145,2.143253,2.143253,TRUE,,566.9286,1,199.28,[199.28],[-45782.01505],[-49079.74756],[504.32],[0.46],[-47597.43880742],5,521.34,"213.68, 255.08, 52.58",-139289.5351, -45175.03114 -49079.74756 -50757.69208,"456.49, 504.32, 138.52","0.61, 0.46, 0.29","[-44370.87904049 -47597.43880742
 
  -50451.09653558]",,N/A,FALSE,N/A,"Middle of Ly-a+NV almost completely absorbed, absorptioin centers on SiIV. But also seems unlikely that such a small CiV would cause immense SiIV. SiIV is still likely however"
J162115.06+400732.3,spec-6045-56072-0455,2.208,2.21213,2.21213,TRUE,1,676.1868,"? BI500 done, maybe changes needed for BI2000?",28.78,[28.78],[-45117.138],[-48081.01542],[509.34],[0.31],[-46459.7375848],0,431.26,"210.29, 220.97",-93534.35681,-97774.6635,"509.54, 351.19","0.31, 0.52",[-46459.7375848 -49198.15233434],,N/A,NOT DONE,N/A,
J162115.06+400732.3,spec-10730-58244-0836,2.208,2.21213,2.21213,TRUE,,676.1868,"? BI500 done, maybe changes needed for BI2000?",420.34,[420.34],[-45724.12253],[-49693.64808],[895.0],[0.68],[-48166.4291183],0,555.99,555.99,-45724.12253,-49693.64808,895.36,0.68,[-48166.4291183],,N/A,NOT DONE,N/A,
J124518.57+515538.2,spec-0885-52379-0063,2.295,2.29575,2.29575,TRUE,,540.6964,1,0,[],[],[],[],[],[],5,8.83,8.83,-39407.80844,-40018.24401,47.23,0.17,[-39758.66640672],,N/A,FALSE,N/A,No clear SiIV
J124518.57+515538.2,spec-1272-52989-0064,2.295,2.29575,2.29575,TRUE,1,540.6964,1,276.58,[276.58],[-35738.83258],[-40357.11623],[804.23],[0.32],[-38036.4522223],5,400.33,400.33,-35738.83258,-40357.11623,804.23,0.32,[-38036.4522223],,N/A,FALSE,N/A,No clear SiIV
J090833.41+325434.6,,2.308,2.30838,2.30838,TRUE,,1016.812,1,13.57,[13.57],[-39720.60997],[-41956.29675],[303.3],[0.41],[-40680.4145638],5,141.7,"40.59, 101.11",-77676.56627,-81269.86386,"152.88, 303.3","0.23, 0.41",[-38580.13739617 -40680.4145638],,N/A,?,N/A,Possible SiIV
J090833.41+325434.6,spec-5809-56353-0704,2.308,2.30838,2.30838,TRUE,1,1016.812,1,53.09,[53.09],[-37888.00094],[-40872.89519],[498.25],[0.35],[-39372.97345748],"Not done, rare bug with vmin calc",228.01,228.01,-37955.85297,-40872.89519,498.25,0.35,[-39372.97345748],,N/A,?,N/A,Possible SiIV
J163514.75+415230.2,spec-0628-52083-0304,2.314,,2.314,FALSE,,471.6355,1,0,,,,,,[],5,5.19,5.19,-37165.73583,-37709.44252,66.33,0.3,[-37434.84318452],,N/A,TRUE,N/A,Flattening/ truncation of red-wing likely
J163514.75+415230.2,spec-6036-56093-0310,2.314,,2.314,FALSE,,471.6355,1,476.62,476.62,-37845.32347,-42590.35772,1028.36,0.43,[-40383.12573984],5,602.32,602.32,-37845.32347,-42590.35772,1028.36,0.43,[-40383.12573984],,N/A,TRUE,N/A,Flattening/ truncation of red-wing likely
J163514.75+415230.2,spec-8524-57656-0969,2.314,,2.314,FALSE,1,471.6355,1,151.06,151.06,-36825.8292,-41304.49228,717.67,0.28,[-39003.46581371],5,310.58,310.58,-36825.8292,-41304.49228,717.67,0.28,[-39003.46581371],,N/A,TRUE,N/A,Flattening/ truncation of red-wing likely
J234150.71+244411.1,spec-6305-56563-0032,2.32,,2.32,FALSE,,306.3253,1,464.89,464.89,-45214.91207,-50462.0435,1083.94,0.47,[-47990.81978609],5,646.84,646.84,-45147.53897,-50462.0435,1083.94,0.47,[-47990.81978609],,N/A,FALSE,N/A,Earthquake-looking spectra. No sign of SiIV
J234150.71+244411.1,spec-7667-57580-0430,2.32,,2.32,FALSE,1,306.3253,1,125.73,125.73,-46428.47809,-50193.72642,619.33,0.31,[-48273.20160864],5,268.59,266.06,-46428.47809,-50193.72642,619.33,0.31,[-48273.20160864],,N/A,FALSE,N/A,
J004300.26+045718.6,spec-4419-55867-0178,2.362,2.362696,2.362696,TRUE,1,658.6977,1,271.55,[271.55],[-35557.67809],[-39634.32016],[897.49],[0.4],[-37642.26999336],0,533.63,533.63,-35632.2675,-39572.99625,897.54,0.4,[-37642.26999336],,FALSE,FALSE,N/A,
J004300.26+045718.6,spec-9446-58082-0782,2.362,2.362696,2.362696,TRUE,,658.6977,1,0,[],[],[],[],[],[],0,,,,,,,,,FALSE,FALSE,N/A,
J144412.36+582636.9,spec-0790-52441-0583,2.37,2.359638,2.359638,TRUE,,1184.056,1,149.55,[149.55],[-45251.79278],[-48820.32218],[537.63],[0.7],[-47068.63444907],"Not done, rare bug with vmin calc",267.3,267.3,-45319.37071,-48820.32218,537.63,0.7,[-47068.63444907],,N/A,FALSE,N/A,No clear SiIV
J144412.36+582636.9,spec-6806-56419-0302,2.37,2.359638,2.359638,TRUE,1,1184.056,1,886.97,[886.97],[-42617.47325],[-50431.58359],[1581.81],[0.52],[-46880.14617629],"Not done, rare bug with vmin calc",959.56,959.56,-42685.14473,-50431.58359,1581.81,0.52,[-46880.14617629],,N/A,FALSE,N/A,No clear SiIV
J160852.73+584513.5,spec-6786-56448-0829,2.385,,2.385,FALSE,,0,1,125.62,125.62,-34924.88545,-38596.49498,786.14,0.58,[-36618.23806289],5,483.11,483.11,-34924.88545,-38596.49498,786.14,0.58,[-36618.23806289],,TRUE,FALSE,TRUE,No clear SiIV
J160852.73+584513.5,spec-6976-56448-0440,2.385,,2.385,FALSE,1,0,1,84.92,84.92,-34993.046,-38392.71574,693.3,0.53,[-36609.44940311],5,407.77,407.77,-34993.046,-38392.71574,693.3,0.53,[-36609.44940311],,TRUE,FALSE,TRUE,No clear SiIV
J234448.62+165312.2,spec-6138-56236-0746,2.395,2.39348,2.39348,TRUE,,106.6752,1,0,,,,,,,5,69.34,69.34,-41096.3699,-41976.59222,207.17,0.37,[ -41512.02189007],,FALSE,FALSE,FALSE,No clear SiIV or NV
J234448.62+165312.2,spec-6138-56598-0754,2.395,2.39348,2.39348,TRUE,1,106.6752,1,35.39,[35.39],[-39605.11534],[-41908.81026],[402.82],[0.5],[-40878.29100153],"Not done, rare bug with vmin calc",171.32,171.32,-39673.02417,-41908.81026,402.82,0.5,[-40878.29100153],,FALSE,FALSE,FALSE,No clear SiIV or NV
J100614.42+340856.6,spec-5745-55998-0657,2.466,,2.466,FALSE,1,15.0029,1,214.84,214.84,-34768.20243,-39118.95992,722.06,0.36,[-37068.86083924],5,320.44,320.44,-34768.20243,-39118.95992,722.06,0.36,[-37068.86083924],,TRUE,TRUE,TRUE,Similar profile for CIV and potential SiIV
J100614.42+340856.6,spec-5745-56050-0657,2.466,,2.466,FALSE,,15.0029,1,238.49,238.49,-36401.65448,-40814.12076,833.04,0.56,[-38343.79039112],5,505.79,"34.58, 471.21",-71578.4417, -36061.38481 -40814.12076,"117.32, 833.04","0.32, 0.56",[ -35651.15443883 -38343.79039112],,TRUE,TRUE,TRUE,Similar profile for CIV and potential SiIV
J100614.42+340856.6,spec-6460-56334-0396,2.466,,2.466,FALSE,,15.0029,1,254.11,"35.18, 218.93",-67355.01264,-74293.55636,"346.42, 762.01","0.27, 0.4",[-33723.33244915 -37214.1533595 ],5,336.77,336.77,-34972.56457,-39661.61764,762.01,0.4,[-37214.1533595],,TRUE,TRUE,TRUE,Similar profile for CIV and potential SiIV
J085824.80+265903.0,spec-1933-53381-0566,2.495,2.488067,2.488067,TRUE,,624.701303,speed,247.7,[247.7],[-38818.07864],[-43018.15562],[801.28],[0.32],[-41072.37798618],0,464.72,"[437.5, 27.22]",[-38818.07864 -43356.10018],[-43018.15562 -44504.4073 ],"[801.28, 127.29]","[0.32, 0.26]",[-41072.37798618 -43969.61970169],,FALSE,FALSE,FALSE,
J085824.80+265903.0,spec-5179-55957-0836,2.495,2.488067,2.488067,TRUE,1,624.701303,speed,16.75,[16.75],[-45786.19964],[-48277.43352],[350.18],[0.22],[-46986.91487986],0,108.92,"[106.4, 2.51]",[-45786.19964 -56974.07846],[-48277.43352 -57506.27373],"[350.18, 51.16]","[0.22, 0.13]",[-46986.91487986 -57284.30239805],,FALSE,FALSE,FALSE,
J085824.80+265903.0,spec-9609-58136-0331,2.495,2.488067,2.488067,TRUE,,624.701303,speed,341.7,[341.7],[-37799.59271],[-42341.71906],[898.61],[0.35],[-40189.30021177],0,459.84,[459.84],[-37799.59271],[-42341.71906],[898.61],[0.35],[-40189.30021177],,FALSE,FALSE,FALSE,
J213054.48+011500.5,spec-1521-52945-0532,2.548,,2.548,FALSE,,0.281849,2,3792.82,3792.82,-29961.89382,-45987.40244,5630.12,0.62,[-37253.8867554],2,4337.35,4337.35,-29961.89382,-45987.40244,5630.12,0.62,[-37253.8867554],,TRUE,?,TRUE,Unknown SiIV
J213054.48+011500.5,spec-5143-55828-0900,2.548,,2.548,FALSE,,0.281849,2,2377.85,2377.85,-29961.83413,-44908.33809,4006.71,0.48,[-37061.24573361],2,2682.79,2682.79,-29961.83413,-44908.33809,4006.71,0.48,[-37061.24573361],,TRUE,FALSE,TRUE,
J213054.48+011500.5,spec-5144-55829-0475,2.548,,2.548,FALSE,1,0.281849,2,1870.01,1870.01,-29961.89382,-43625.39701,3403.25,0.43,[-36556.2641749],2,2167.46,2167.46,-29961.89382,-43625.39701,3403.25,0.43,[-36556.2641749],,TRUE,FALSE,TRUE,
J213054.48+011500.5,spec-9162-58040-0112,2.548,,2.548,FALSE,,0.281849,2,2164.01,2164.01,-29961.89382,-43355.02507,3689.67,0.46,[-36364.15868804],2,2494.65,2494.65,-29961.89382,-43355.02507,3689.67,0.46,[-36364.15868804],,TRUE,FALSE,TRUE,
